v8-version,8,6,395,17,-node.22,0
code-creation,Builtin,3,3578,0x1472400,80,LoadIndexedInterceptorIC
code-creation,Builtin,3,3584,0x1472460,328,KeyedStoreIC_SloppyArguments_Standard
code-creation,Builtin,3,3587,0x14725c0,328,KeyedStoreIC_SloppyArguments_GrowNoTransitionHandleCOW
code-creation,Builtin,3,3591,0x1472720,328,KeyedStoreIC_SloppyArguments_NoTransitionIgnoreOOB
code-creation,Builtin,3,3595,0x1472880,328,KeyedStoreIC_SloppyArguments_NoTransitionHandleCOW
code-creation,Builtin,3,4303,0x14729e0,6836,StoreFastElementIC_Standard
code-creation,Builtin,3,4311,0x14744a0,10612,StoreFastElementIC_GrowNoTransitionHandleCOW
code-creation,Builtin,3,4317,0x1476e20,6832,StoreFastElementIC_NoTransitionIgnoreOOB
code-creation,Builtin,3,4321,0x14788e0,6500,StoreFastElementIC_NoTransitionHandleCOW
code-creation,Builtin,3,4327,0x147a260,9396,ElementsTransitionAndStore_Standard
code-creation,Builtin,3,4332,0x147c720,21780,ElementsTransitionAndStore_GrowNoTransitionHandleCOW
code-creation,Builtin,3,4337,0x1481c40,9396,ElementsTransitionAndStore_NoTransitionIgnoreOOB
code-creation,Builtin,3,4342,0x1484100,12372,ElementsTransitionAndStore_NoTransitionHandleCOW
code-creation,Builtin,3,4347,0x1487160,800,KeyedHasIC_PolymorphicName
code-creation,Builtin,3,4352,0x14874a0,156,KeyedHasIC_SloppyArguments
code-creation,Builtin,3,4357,0x1487540,80,HasIndexedInterceptorIC
code-creation,Builtin,3,4362,0x14875a0,156,EnqueueMicrotask
code-creation,Builtin,3,4367,0x1487640,8,RunMicrotasksTrampoline
code-creation,Builtin,3,4371,0x1487660,2548,RunMicrotasks
code-creation,Builtin,3,4376,0x1488060,2172,HasProperty
code-creation,Builtin,3,4379,0x14888e0,1108,DeleteProperty
code-creation,Builtin,3,4384,0x1488d40,1987,CopyDataProperties
code-creation,Builtin,3,4389,0x1489520,8942,SetDataProperties
code-creation,Builtin,3,4393,0x148b820,36,Abort
code-creation,Builtin,3,4396,0x148b860,36,AbortCSAAssert
code-creation,Builtin,3,4400,0x148b8a0,12,EmptyFunction
code-creation,Builtin,3,4405,0x148b8c0,12,Illegal
code-creation,Builtin,3,4408,0x148b8e0,12,StrictPoisonPillThrower
code-creation,Builtin,3,4412,0x148b900,12,UnsupportedThrower
code-creation,Builtin,3,4417,0x148b920,65,ReturnReceiver
code-creation,Builtin,3,4421,0x148b980,36,ArrayConstructor
code-creation,Builtin,3,4426,0x148b9c0,413,ArrayConstructorImpl
code-creation,Builtin,3,4431,0x148bb60,237,ArrayNoArgumentConstructor_PackedSmi_DontOverride
code-creation,Builtin,3,4436,0x148bc60,237,ArrayNoArgumentConstructor_HoleySmi_DontOverride
code-creation,Builtin,3,4441,0x148bd60,197,ArrayNoArgumentConstructor_PackedSmi_DisableAllocationSites
code-creation,Builtin,3,4446,0x148be40,197,ArrayNoArgumentConstructor_HoleySmi_DisableAllocationSites
code-creation,Builtin,3,4452,0x148bf20,197,ArrayNoArgumentConstructor_Packed_DisableAllocationSites
code-creation,Builtin,3,4457,0x148c000,197,ArrayNoArgumentConstructor_Holey_DisableAllocationSites
code-creation,Builtin,3,4463,0x148c0e0,209,ArrayNoArgumentConstructor_PackedDouble_DisableAllocationSites
code-creation,Builtin,3,4467,0x148c1c0,209,ArrayNoArgumentConstructor_HoleyDouble_DisableAllocationSites
code-creation,Builtin,3,4473,0x148c2a0,533,ArraySingleArgumentConstructor_PackedSmi_DontOverride
code-creation,Builtin,3,4478,0x148c4c0,497,ArraySingleArgumentConstructor_HoleySmi_DontOverride
code-creation,Builtin,3,4483,0x148c6c0,457,ArraySingleArgumentConstructor_PackedSmi_DisableAllocationSites
code-creation,Builtin,3,4488,0x148c8a0,417,ArraySingleArgumentConstructor_HoleySmi_DisableAllocationSites
code-creation,Builtin,3,4496,0x148ca60,457,ArraySingleArgumentConstructor_Packed_DisableAllocationSites
code-creation,Builtin,3,4502,0x148cc40,417,ArraySingleArgumentConstructor_Holey_DisableAllocationSites
code-creation,Builtin,3,4508,0x148ce00,469,ArraySingleArgumentConstructor_PackedDouble_DisableAllocationSites
code-creation,Builtin,3,4513,0x148cfe0,433,ArraySingleArgumentConstructor_HoleyDouble_DisableAllocationSites
code-creation,Builtin,3,4519,0x148d1a0,68,ArrayNArgumentsConstructor
code-creation,Builtin,3,4522,0x148d200,12,ArrayConcat
code-creation,Builtin,3,4526,0x148d220,12,ArrayPrototypeFill
code-creation,Builtin,3,4529,0x148d240,958,ArrayIncludesSmiOrObject
code-creation,Builtin,3,4539,0x148d600,148,ArrayIncludesPackedDoubles
code-creation,Builtin,3,4543,0x148d6a0,216,ArrayIncludesHoleyDoubles
code-creation,Builtin,3,4546,0x148d780,613,ArrayIncludes
code-creation,Builtin,3,4549,0x148da00,882,ArrayIndexOfSmiOrObject
code-creation,Builtin,3,4552,0x148dd80,124,ArrayIndexOfPackedDoubles
code-creation,Builtin,3,4554,0x148de00,124,ArrayIndexOfHoleyDoubles
code-creation,Builtin,3,4557,0x148de80,617,ArrayIndexOf
code-creation,Builtin,3,4560,0x148e100,12,ArrayPop
code-creation,Builtin,3,4563,0x148e120,710,ArrayPrototypePop
code-creation,Builtin,3,4565,0x148e400,12,ArrayPush
code-creation,Builtin,3,4568,0x148e420,2790,ArrayPrototypePush
code-creation,Builtin,3,4571,0x148ef20,12,ArrayShift
code-creation,Builtin,3,4574,0x148ef40,12,ArrayUnshift
code-creation,Builtin,3,4576,0x148ef60,1094,CloneFastJSArray
code-creation,Builtin,3,4579,0x148f3c0,2502,CloneFastJSArrayFillingHoles
code-creation,Builtin,3,4582,0x148fda0,1098,ExtractFastJSArray
code-creation,Builtin,3,4585,0x1490200,295,ArrayPrototypeEntries
code-creation,Builtin,3,4589,0x1490340,283,ArrayPrototypeKeys
code-creation,Builtin,3,4594,0x1490460,295,ArrayPrototypeValues
code-creation,Builtin,3,4597,0x14905a0,4320,ArrayIteratorPrototypeNext
code-creation,Builtin,3,4601,0x14916a0,3810,FlattenIntoArray
code-creation,Builtin,3,4605,0x14925a0,3838,FlatMapIntoArray
code-creation,Builtin,3,4608,0x14934a0,508,ArrayPrototypeFlat
code-creation,Builtin,3,4610,0x14936a0,556,ArrayPrototypeFlatMap
code-creation,Builtin,3,4613,0x14938e0,12,ArrayBufferConstructor
code-creation,Builtin,3,4618,0x1493900,12,ArrayBufferConstructor_DoNotInitialize
code-creation,Builtin,3,4621,0x1493920,12,ArrayBufferPrototypeGetByteLength
code-creation,Builtin,3,4625,0x1493940,12,ArrayBufferIsView
code-creation,Builtin,3,4628,0x1493960,12,ArrayBufferPrototypeSlice
code-creation,Builtin,3,4633,0x1493980,640,AsyncFunctionEnter
code-creation,Builtin,3,4638,0x1493c20,161,AsyncFunctionReject
code-creation,Builtin,3,4643,0x1493ce0,153,AsyncFunctionResolve
code-creation,Builtin,3,4646,0x1493d80,20,AsyncFunctionLazyDeoptContinuation
code-creation,Builtin,3,4650,0x1493da0,1466,AsyncFunctionAwaitCaught
code-creation,Builtin,3,4654,0x1494360,1466,AsyncFunctionAwaitUncaught
code-creation,Builtin,3,4659,0x1494920,203,AsyncFunctionAwaitRejectClosure
code-creation,Builtin,3,4663,0x1494a00,195,AsyncFunctionAwaitResolveClosure
code-creation,Builtin,3,4667,0x1494ae0,12,BigIntConstructor
code-creation,Builtin,3,4672,0x1494b00,12,BigIntAsUintN
code-creation,Builtin,3,4675,0x1494b20,12,BigIntAsIntN
code-creation,Builtin,3,4679,0x1494b40,12,BigIntPrototypeToLocaleString
code-creation,Builtin,3,4683,0x1494b60,12,BigIntPrototypeToString
code-creation,Builtin,3,4688,0x1494b80,12,BigIntPrototypeValueOf
code-creation,Builtin,3,4692,0x1494ba0,12,CallSitePrototypeGetColumnNumber
code-creation,Builtin,3,4696,0x1494bc0,12,CallSitePrototypeGetEnclosingColumnNumber
code-creation,Builtin,3,4700,0x1494be0,12,CallSitePrototypeGetEnclosingLineNumber
code-creation,Builtin,3,4705,0x1494c00,12,CallSitePrototypeGetEvalOrigin
code-creation,Builtin,3,4709,0x1494c20,12,CallSitePrototypeGetFileName
code-creation,Builtin,3,4713,0x1494c40,12,CallSitePrototypeGetFunction
code-creation,Builtin,3,4718,0x1494c60,12,CallSitePrototypeGetFunctionName
code-creation,Builtin,3,4723,0x1494c80,12,CallSitePrototypeGetLineNumber
code-creation,Builtin,3,4726,0x1494ca0,12,CallSitePrototypeGetMethodName
code-creation,Builtin,3,4731,0x1494cc0,12,CallSitePrototypeGetPosition
code-creation,Builtin,3,4735,0x1494ce0,12,CallSitePrototypeGetPromiseIndex
