v8-version,8,6,395,17,-node.22,0
code-creation,Builtin,3,11670,0x148d6a0,216,ArrayIncludesHoleyDoubles
code-creation,Builtin,3,11673,0x148d780,613,ArrayIncludes
code-creation,Builtin,3,11676,0x148da00,882,ArrayIndexOfSmiOrObject
code-creation,Builtin,3,11679,0x148dd80,124,ArrayIndexOfPackedDoubles
code-creation,Builtin,3,11682,0x148de00,124,ArrayIndexOfHoleyDoubles
code-creation,Builtin,3,11685,0x148de80,617,ArrayIndexOf
code-creation,Builtin,3,11688,0x148e100,12,ArrayPop
code-creation,Builtin,3,11691,0x148e120,710,ArrayPrototypePop
code-creation,Builtin,3,11694,0x148e400,12,ArrayPush
code-creation,Builtin,3,11698,0x148e420,2790,ArrayPrototypePush
code-creation,Builtin,3,11701,0x148ef20,12,ArrayShift
code-creation,Builtin,3,11704,0x148ef40,12,ArrayUnshift
code-creation,Builtin,3,11707,0x148ef60,1094,CloneFastJSArray
code-creation,Builtin,3,11709,0x148f3c0,2502,CloneFastJSArrayFillingHoles
code-creation,Builtin,3,11713,0x148fda0,1098,ExtractFastJSArray
code-creation,Builtin,3,11715,0x1490200,295,ArrayPrototypeEntries
code-creation,Builtin,3,11728,0x1490340,283,ArrayPrototypeKeys
code-creation,Builtin,3,11732,0x1490460,295,ArrayPrototypeValues
code-creation,Builtin,3,11736,0x14905a0,4320,ArrayIteratorPrototypeNext
code-creation,Builtin,3,11741,0x14916a0,3810,FlattenIntoArray
code-creation,Builtin,3,11744,0x14925a0,3838,FlatMapIntoArray
code-creation,Builtin,3,11748,0x14934a0,508,ArrayPrototypeFlat
code-creation,Builtin,3,11752,0x14936a0,556,ArrayPrototypeFlatMap
code-creation,Builtin,3,11756,0x14938e0,12,ArrayBufferConstructor
code-creation,Builtin,3,11760,0x1493900,12,ArrayBufferConstructor_DoNotInitialize
code-creation,Builtin,3,11765,0x1493920,12,ArrayBufferPrototypeGetByteLength
code-creation,Builtin,3,11769,0x1493940,12,ArrayBufferIsView
code-creation,Builtin,3,11773,0x1493960,12,ArrayBufferPrototypeSlice
code-creation,Builtin,3,11777,0x1493980,640,AsyncFunctionEnter
code-creation,Builtin,3,11782,0x1493c20,161,AsyncFunctionReject
code-creation,Builtin,3,11786,0x1493ce0,153,AsyncFunctionResolve
code-creation,Builtin,3,11790,0x1493d80,20,AsyncFunctionLazyDeoptContinuation
code-creation,Builtin,3,11795,0x1493da0,1466,AsyncFunctionAwaitCaught
code-creation,Builtin,3,11799,0x1494360,1466,AsyncFunctionAwaitUncaught
code-creation,Builtin,3,11803,0x1494920,203,AsyncFunctionAwaitRejectClosure
code-creation,Builtin,3,11807,0x1494a00,195,AsyncFunctionAwaitResolveClosure
code-creation,Builtin,3,11812,0x1494ae0,12,BigIntConstructor
code-creation,Builtin,3,11816,0x1494b00,12,BigIntAsUintN
code-creation,Builtin,3,11819,0x1494b20,12,BigIntAsIntN
code-creation,Builtin,3,11823,0x1494b40,12,BigIntPrototypeToLocaleString
